task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,manas,samskara_mean,moha_fraction,retrograde_fired,manas_peak_fraction
0,1,7,2.031172,0.339071,0,1.349044,0.0,0.328882,2e-05,0.300624,0.122247,0.358845,0.213368,0.0,1.0,0.01217,0.0,0,0.568848
0,1,8,2.210846,0.362711,0,1.331592,0.0,0.332265,1.4e-05,0.303728,0.117426,0.358922,0.217293,0.0,1.0,0.012249,0.0,0,0.571777
0,1,9,1.945121,0.307912,0,1.315012,0.0,0.32983,9e-06,0.303938,0.112593,0.357902,0.221197,0.0,1.0,0.012312,0.0,0,0.569824
0,1,10,1.865598,0.305386,0,1.299262,0.0,0.327386,6e-06,0.30401,0.107165,0.356852,0.225082,0.0,1.0,0.01235,0.0,0,0.568359
0,1,11,2.044408,0.354435,0,1.284299,0.0,0.330091,4e-06,0.306531,0.102333,0.356803,0.228948,0.0,1.0,0.01238,0.0,0,0.571289
0,1,12,2.162662,0.355263,0,1.270084,0.0,0.332608,3e-06,0.308968,0.098077,0.356772,0.232793,0.0,1.0,0.012403,0.0,0,0.563965
0,1,13,2.07155,0.32419,0,1.256579,0.0,0.331766,2e-06,0.309729,0.093989,0.356121,0.23662,0.0,1.0,0.012416,0.0,0,0.559082
0,1,14,1.8381,0.306158,0,1.24375,0.0,0.329205,1e-06,0.30955,0.089352,0.355122,0.240428,0.0,1.0,0.01241,0.0,0,0.569336
0,1,15,2.217773,0.343219,0,1.231563,0.0,0.330607,1e-06,0.311234,0.085153,0.354884,0.244216,0.0,1.0,0.012396,0.0,0,0.565918
0,1,16,1.939756,0.31994,0,1.219985,0.0,0.32954,1e-06,0.311669,0.080818,0.354185,0.247986,0.0,1.0,0.012366,0.0,0,0.573242
0,1,17,1.891836,0.303571,0,1.208985,0.0,0.326943,0.0,0.311264,0.078424,0.353172,0.251736,0.0,1.0,0.01235,0.0,0,0.556152
0,1,18,2.113899,0.329621,0,1.198536,0.0,0.327211,0.0,0.312182,0.075727,0.352701,0.255468,0.0,1.0,0.01232,0.0,0,0.552246
0,1,19,2.142101,0.319573,0,1.188609,0.0,0.326447,0.0,0.312552,0.074547,0.352039,0.259182,0.0,1.0,0.012304,0.0,0,0.559082
0,1,20,1.885,0.311874,0,1.179179,0.0,0.32499,0.0,0.312518,0.071649,0.351235,0.262877,0.0,1.0,0.01226,0.0,0,0.562988
0,1,21,2.012818,0.348718,0,1.17022,0.0,0.327363,0.0,0.314328,0.071772,0.351185,0.266553,0.0,1.0,0.012252,0.0,0,0.559082
