task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,samskara_mean,moha_fraction,retrograde_fired
0,1,34,1.908784,0.355529,0,1.0,0.0,0.341938,0.0,0.330065,0.04808,0.350574,0.312711,0.0,0.0,0.0,0
0,1,35,1.911683,0.357231,0,1.0,0.0,0.343467,0.0,0.331423,0.048327,0.350707,0.316139,0.0,0.0,0.0,0
0,1,36,1.903437,0.325581,0,1.0,0.0,0.341679,0.0,0.331131,0.048135,0.350205,0.319549,0.0,0.0,0.0,0
0,1,37,1.844694,0.360921,0,1.0,0.0,0.343603,0.0,0.332621,0.048664,0.350419,0.322943,0.0,0.0,0.0,0
0,1,38,2.110856,0.345404,0,1.0,0.0,0.343783,0.0,0.33326,0.049087,0.350319,0.32632,0.0,0.0,0.0,0
0,1,39,2.081276,0.299444,0,1.0,0.0,0.339349,0.0,0.331569,0.05636,0.349301,0.32968,0.0,0.0,0.0,0
0,2,0,2.10316,0.405038,0,1.0,0.0,0.345918,0.0,0.335243,0.054853,0.350416,0.333023,0.0,0.0,0.0,0
0,2,1,2.118587,0.416337,0,1.0,0.0,0.35296,0.0,0.339297,0.053844,0.351735,0.33635,0.0,0.0,0.0,0
0,2,2,1.925561,0.363363,0,1.0,0.0,0.354,0.0,0.340501,0.053915,0.351967,0.33966,0.0,0.0,0.0,0
0,2,3,1.9228,0.368093,0,1.0,0.0,0.355409,0.0,0.34188,0.053093,0.35229,0.342953,0.0,0.0,0.0,0
0,2,4,1.834047,0.37233,0,1.0,0.0,0.357102,0.0,0.343403,0.052337,0.352691,0.34623,0.0,0.0,0.0,0
0,2,5,1.927661,0.375734,0,1.0,0.0,0.358965,0.0,0.345019,0.051147,0.353151,0.349491,0.0,0.0,0.0,0
0,2,6,1.994459,0.372223,0,1.0,0.0,0.360291,0.0,0.346379,0.049219,0.353533,0.352735,0.0,0.0,0.0,0
0,2,7,1.953009,0.378893,0,1.0,0.0,0.362151,0.0,0.348005,0.047578,0.35404,0.355964,0.0,0.0,0.0,0
0,2,8,1.937269,0.352735,0,1.0,0.0,0.361209,0.0,0.348242,0.046363,0.354014,0.359176,0.0,0.0,0.0,0
0,2,9,1.852833,0.332587,0,1.0,0.0,0.358347,0.0,0.347459,0.045977,0.353585,0.362372,0.0,0.0,0.0,0
0,2,10,1.855755,0.351345,0,1.0,0.0,0.357647,0.0,0.347653,0.045376,0.353541,0.365552,0.0,0.0,0.0,0
0,2,11,2.004781,0.349626,0,1.0,0.0,0.356845,0.0,0.347752,0.045578,0.353462,0.368716,0.0,0.0,0.0,0
0,2,12,1.996733,0.326775,0,1.0,0.0,0.353838,0.0,0.346703,0.047693,0.352929,0.371865,0.0,0.0,0.0,0
0,2,13,1.904118,0.343857,0,1.0,0.0,0.35284,0.0,0.346561,0.048017,0.352747,0.374998,0.0,0.0,0.0,0
0,2,14,1.950688,0.323165,0,1.0,0.0,0.349872,0.0,0.345391,0.047496,0.352156,0.378115,0.0,0.0,0.0,0
0,2,15,1.938227,0.348884,0,1.0,0.0,0.349773,0.0,0.345566,0.045712,0.35209,0.381217,0.0,0.0,0.0,0
0,2,16,1.82437,0.318097,0,1.0,0.0,0.346606,0.0,0.344192,0.043601,0.35141,0.384303,0.0,0.0,0.0,0
0,2,17,1.916582,0.310145,0,1.0,0.0,0.34296,0.0,0.34249,0.043767,0.350585,0.387374,0.0,0.0,0.0,0
