task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,samskara_mean,moha_fraction,retrograde_fired
0,1,25,1.996101,0.334531,0,1.138458,0.0,0.3283,0.0,0.317314,0.070502,0.349619,0.281076,0.0,0.012106,0.0,0
0,1,26,1.970413,0.310831,0,1.131536,0.0,0.326553,0.0,0.31699,0.070562,0.348844,0.284662,0.0,0.01209,0.0,0
0,1,27,1.868985,0.299247,0,1.124959,0.0,0.323823,0.0,0.316103,0.071489,0.347852,0.28823,0.0,0.012085,0.0,0
0,1,28,1.925392,0.325551,0,1.118711,0.0,0.323995,0.0,0.316575,0.070277,0.347406,0.29178,0.0,0.012052,0.0,0
0,1,29,1.865945,0.325302,0,1.112775,0.0,0.324126,0.0,0.317011,0.071358,0.346964,0.295312,0.0,0.01205,0.0,0
0,1,30,1.871933,0.342624,0,1.107136,0.0,0.325976,0.0,0.318292,0.07193,0.346877,0.298827,0.0,0.012044,0.0,0
0,1,31,1.820855,0.337798,0,1.10178,0.0,0.327158,0.0,0.319267,0.073072,0.346695,0.302324,0.0,0.012049,0.0,0
0,1,32,1.87756,0.37119,0,1.096691,0.0,0.331561,0.0,0.321863,0.07291,0.347185,0.305803,0.0,0.012037,0.0,0
0,1,33,1.859935,0.384035,0,1.091856,0.0,0.336809,0.0,0.324972,0.072879,0.347922,0.309266,0.0,0.012031,0.0,0
0,1,34,1.905901,0.357018,0,1.087263,0.0,0.33883,0.0,0.326574,0.07637,0.348104,0.312711,0.0,0.012078,0.0,0
0,1,35,1.912742,0.363524,0,1.0829,0.0,0.341299,0.0,0.328422,0.077697,0.348413,0.316139,0.0,0.012102,0.0,0
0,1,36,1.905791,0.326673,0,1.078755,0.0,0.339836,0.0,0.328334,0.079638,0.347978,0.319549,0.0,0.012142,0.0,0
0,1,37,1.835526,0.361005,0,1.074817,0.0,0.341953,0.0,0.329968,0.080312,0.348238,0.322943,0.0,0.012168,0.0,0
0,1,38,2.126651,0.354656,0,1.071076,0.0,0.343223,0.0,0.331202,0.081437,0.348367,0.32632,0.0,0.012202,0.0,0
0,1,39,2.081675,0.29975,0,1.067522,0.0,0.338876,0.0,0.32963,0.088099,0.347394,0.32968,0.0,0.012317,0.0,0
0,2,0,2.081438,0.396917,0,1.064146,0.0,0.34468,0.0,0.332994,0.088643,0.348385,0.333023,0.0,0.012359,0.0,0
0,2,1,2.104888,0.410151,0,1.060939,0.0,0.351227,0.0,0.336852,0.087321,0.34962,0.33635,0.0,0.012375,0.0,0
0,2,2,1.906262,0.357851,0,1.057892,0.0,0.35189,0.0,0.337902,0.086849,0.349785,0.33966,0.0,0.012402,0.0,0
0,2,3,1.923205,0.359903,0,1.054997,0.0,0.352691,0.0,0.339002,0.088424,0.349987,0.342953,0.0,0.012462,0.0,0
0,2,4,1.841513,0.368774,0,1.052247,0.0,0.354299,0.0,0.34049,0.087146,0.350363,0.34623,0.0,0.012486,0.0,0
0,2,5,1.90892,0.376559,0,1.049635,0.0,0.356525,0.0,0.342294,0.084951,0.350887,0.349491,0.0,0.012496,0.0,0
0,2,6,1.963828,0.362711,0,1.047153,0.0,0.357144,0.0,0.343315,0.082414,0.351123,0.352735,0.0,0.012495,0.0,0
0,2,7,1.966846,0.371247,0,1.044796,0.0,0.358554,0.0,0.344711,0.08097,0.351526,0.355964,0.0,0.012504,0.0,0
0,2,8,1.945683,0.343837,0,1.042556,0.0,0.357083,0.0,0.344668,0.078839,0.351372,0.359176,0.0,0.012501,0.0,0
0,2,9,1.84839,0.322816,0,1.040428,0.0,0.353656,0.0,0.343575,0.080551,0.350801,0.362372,0.0,0.012549,0.0,0
0,2,10,1.866354,0.339123,0,1.038406,0.0,0.352203,0.0,0.343352,0.080652,0.350567,0.365552,0.0,0.012579,0.0,0
0,2,11,2.005295,0.340683,0,1.036486,0.0,0.351051,0.0,0.343219,0.08083,0.35037,0.368716,0.0,0.012612,0.0,0
0,2,12,1.994679,0.321894,0,1.034662,0.0,0.348135,0.0,0.342153,0.081852,0.3498,0.371865,0.0,0.012659,0.0,0
0,2,13,1.913109,0.339502,0,1.032929,0.0,0.347272,0.0,0.34202,0.082376,0.349594,0.374998,0.0,0.012702,0.0,0
0,2,14,1.927523,0.319478,0,1.031282,0.0,0.344492,0.0,0.340893,0.082795,0.348992,0.378115,0.0,0.012744,0.0,0
0,2,15,1.942618,0.34003,0,1.029718,0.0,0.344046,0.0,0.34085,0.080787,0.348813,0.381217,0.0,0.012753,0.0,0
0,2,16,1.843502,0.317811,0,1.028232,0.0,0.341422,0.0,0.339698,0.079376,0.348193,0.384303,0.0,0.012766,0.0,0
